elect_dist,republican,democratic,green,libertarian,year
30060,166,471,15,5,2016
30061,218,584,13,14,2016
30062,81,354,10,2,2016
30063,57,263,7,6,2016
30064,123,636,14,11,2016
30065,141,668,17,10,2016
30066,121,717,17,10,2016
30067,64,572,12,6,2016
30068,94,647,19,6,2016
30069,125,666,8,7,2016
30070,0,0,0,0,2016
30071,0,0,0,0,2016
30072,0,0,0,0,2016
31001,107,581,6,1,2016
31002,97,543,11,6,2016
31003,123,588,5,3,2016
31004,81,643,3,4,2016
31005,93,577,5,2,2016
31006,3,29,0,0,2016
31007,88,504,7,4,2016
31008,130,482,7,4,2016
31009,76,557,3,4,2016
31010,84,601,10,1,2016
31011,58,662,5,1,2016
31012,76,572,2,2,2016
31013,63,516,5,1,2016
31014,28,576,3,3,2016
31015,34,572,4,4,2016
31016,17,274,1,2,2016
31017,15,441,3,3,2016
31018,28,624,3,3,2016
31019,18,398,2,2,2016
31020,63,192,2,1,2016
31021,7,40,2,0,2016
31022,87,528,1,1,2016
31023,84,309,4,1,2016
31024,66,535,4,6,2016
31025,65,527,5,6,2016
31026,125,481,4,3,2016
31027,143,372,1,2,2016
31028,91,324,5,3,2016
31029,24,532,5,2,2016
31030,4,35,0,0,2016
31031,0,0,0,0,2016
31032,62,631,8,4,2016
31033,3,228,1,0,2016
31034,20,740,6,3,2016
31035,14,568,4,1,2016
31036,13,619,1,2,2016
31037,8,553,12,2,2016
31038,22,612,6,3,2016
31039,61,408,6,7,2016
31040,11,659,7,0,2016
31041,10,568,5,2,2016
31042,19,724,5,3,2016
31043,28,693,7,9,2016
31044,42,719,10,3,2016
31045,23,271,10,1,2016
31046,17,577,10,5,2016
31047,26,523,5,2,2016
31048,53,543,6,1,2016
31049,36,608,6,6,2016
31050,12,585,4,2,2016
31051,29,682,9,2,2016
31052,39,643,9,6,2016
31053,30,524,6,2,2016
31054,34,425,3,3,2016
31055,21,385,1,1,2016
31056,15,395,12,2,2016
31057,39,450,7,6,2016
31058,18,579,3,3,2016
31059,39,687,6,2,2016
31060,0,2,0,0,2016
31061,14,636,2,4,2016
31062,18,475,7,2,2016
31063,10,677,9,3,2016
31064,20,810,7,4,2016
31065,0,0,0,0,2016
31066,0,0,0,0,2016
31067,0,0,0,0,2016
31068,0,0,0,0,2016
31069,0,0,0,0,2016
31070,0,0,0,0,2016
31071,0,0,0,0,2016
31072,0,0,0,0,2016
31073,0,0,0,0,2016
31074,0,0,0,0,2016
31075,0,0,0,0,2016
31076,0,0,0,0,2016
31077,0,0,0,0,2016
31078,26,477,6,2,2016
31079,18,427,2,5,2016
32001,48,644,0,1,2016
32002,7,24,0,0,2016
32003,34,653,7,4,2016
32004,53,632,6,4,2016
32005,52,705,6,4,2016
32006,43,610,4,6,2016
32007,12,111,2,0,2016
32008,32,112,2,0,2016
32009,10,138,4,1,2016
32010,3,49,1,0,2016
32011,99,524,1,0,2016
32012,0,0,0,0,2016
32013,9,96,1,1,2016
32014,0,8,0,0,2016
32015,16,578,5,3,2016
32016,22,654,12,0,2016
32017,44,592,9,3,2016
32018,68,549,6,2,2016
32019,90,483,2,2,2016
32020,67,547,3,1,2016
32021,28,604,3,2,2016
32022,22,541,1,1,2016
32023,30,489,5,1,2016
32024,29,400,6,1,2016
32025,22,607,7,3,2016
32026,12,459,4,1,2016
32027,17,521,5,2,2016
32028,31,626,8,4,2016
32029,18,664,9,1,2016
32030,26,609,8,2,2016
32031,38,641,7,0,2016
32032,35,471,4,2,2016
32033,26,681,7,3,2016
32034,13,658,7,5,2016
32035,18,674,9,3,2016
32036,20,618,7,0,2016
32037,14,308,1,1,2016
32038,25,646,6,1,2016
32039,14,675,3,1,2016
32040,17,532,4,1,2016
32041,13,504,6,2,2016
32042,17,515,5,0,2016
32043,23,702,4,3,2016
32044,2,271,2,0,2016
32045,11,696,8,3,2016
32046,7,422,3,1,2016
32047,12,425,6,4,2016
32048,4,393,3,2,2016
32049,25,696,8,4,2016
32050,18,660,7,4,2016
32051,27,621,2,6,2016
32052,19,482,5,1,2016
32053,22,574,7,1,2016
